id,name,election_type,state,district,cabecera,curul
62-288,López Landero Tomás,Mayoría Relativa,Veracruz,18,Zongolica,L-440
62-268,Sánchez Santiago María Guadalupe,Mayoría Relativa,Tlaxcala,1,Apizaco,J-335
62-325,Retamoza Vega Patricia Elena,Representación proporcional,Jalisco,1,,H-254
62-324,Galindo Quiñones Heriberto Manuel,Representación proporcional,Sinaloa,1,,F-173
62-327,Juárez Piña Verónica Beatriz,Representación proporcional,Jalisco,1,,D-113
62-850,Limón Robles Ofelia,Representación proporcional,San Luis Potosí,2,,E-124
62-329,Valles Sampedro Lorenia Iveth,Representación proporcional,Sonora,1,,J-365
62-328,González Barrios Rodrigo,Representación proporcional,Nayarit,1,,F-192
62-280,Flores Aguayo Uriel,Mayoría Relativa,Veracruz,10,Xalapa,L-457
62-192,López Cisneros José Martín,Mayoría Relativa,Nuevo León,7,Monterrey,F-166
62-286,López Landero Leticia,Mayoría Relativa,Veracruz,16,Córdoba,M-459
62-287,Cárdenas Guízar Gabriel de Jesús,Mayoría Relativa,Veracruz,17,Cosamaloapan,C-055
62-284,Hernández González Noé,Mayoría Relativa,Veracruz,14,Minatitlán,K-402
62-463,Sosa Govea Martha Leticia,Representación proporcional,Colima,5,,G-207
62-354,Jiménez Cerrillo Raquel,Representación proporcional,Querétaro,2,,E-121
62-355,Anaya Llamas José Guillermo,Representación proporcional,Coahuila,2,,E-130
62-356,Trejo Reyes José Isabel,Representación proporcional,Zacatecas,2,,E-133
62-357,González Aguilar Lazara Nelly,Representación proporcional,Tamaulipas,2,,C-051
62-350,Flores Flores Enrique Alejandro,Representación proporcional,San Luis Potosí,2,,E-124
62-222,Guevara González Javier Filiberto,Mayoría Relativa,Puebla,14,Izúcar de Matamoros,M-482
62-352,Sada Pérez Verónica,Representación proporcional,Nuevo León,2,,D-084
62-353,López López Raudel,Representación proporcional,Aguascalientes,2,,E-138
62-215,Morales Flores Jesús,Mayoría Relativa,Puebla,7,Tepeaca,M-490
62-214,Doger Guerrero José Enrique,Mayoría Relativa,Puebla,6,Heroica Puebla de Zaragoza,H-268
62-217,Jiménez Castillo Blanca,Mayoría Relativa,Puebla,9,Heroica Puebla de Zaragoza,D-100
62-223,García de la Cadena Romero María del Carmen,Mayoría Relativa,Puebla,15,Tehuacán,M-480
62-358,Arroyo Vieyra Francisco,Representación proporcional,Guanajuato,2,,P-503
62-210,Márquez Martínez José Luis,Mayoría Relativa,Puebla,2,Zacatlán,M-489
62-213,Sánchez Romero Carlos,Mayoría Relativa,Puebla,5,San Martín Texmelucan de Labastida,M-488
62-212,García Hernández Josefina,Mayoría Relativa,Puebla,4,Zacapoaxtla,M-484
62-497,Ochoa López Nabor,Representación proporcional,Colima,5,,J-348
62-153,Bernal Bolnik Sue Ellen,Mayoría Relativa,México,28,Zumpango de Ocampo,J-355
62-495,Orozco Gómez Javier,Representación proporcional,México,5,,P-505
